SSID,BSSID,Last_Auto_Joined,Last_Joined,Last_Updated,Network_Usage,Source
De Bieb publiek,e8:26:89:26:8c:d2,2022-02-03 14:51:12.021056,2022-02-01 12:30:31.519732,2022-02-03 16:58:51.340279,7659.381010890007,/private/var/preferences/com.apple.wifi.known-networks.plist
HotspotArriva_B_7747,4c:5e:c:7c:13:90,2022-01-31 14:35:14.836898,2022-02-22 17:52:00.522851,2022-02-22 17:52:07.012148,0,/private/var/preferences/com.apple.wifi.known-networks.plist
IKC-DeVaart,78:8a:20:84:d3:9f,2022-02-10 11:46:27.749066,2022-02-09 11:39:38.401608,2022-02-09 11:48:14.825365,0,/private/var/preferences/com.apple.wifi.known-networks.plist
Kwalitaria,a6:73:64:1b:43:9d,2022-02-13 17:52:18.675788,2022-02-13 12:54:31.355848,2022-02-13 17:52:18.679002,0,/private/var/preferences/com.apple.wifi.known-networks.plist
Gasten,e0:63:da:22:54:c8,2022-01-31 14:35:14.836898,2022-01-31 11:59:16.059666,2022-01-31 14:35:14.839389,9346.952630877495,/private/var/preferences/com.apple.wifi.known-networks.plist
McDonald's WiFi,6e:a7:7b:4:8b:87,2022-02-10 11:46:27.749066,2022-02-10 11:18:57.300235,2022-02-10 15:11:19.319908,1613.7202520370483,/private/var/preferences/com.apple.wifi.known-networks.plist
RNET-BusWiFi,4e:50:8b:2f:cc:1e,2022-01-31 14:35:14.836898,2022-02-14 09:44:28.329209,2022-02-14 10:52:45.191930,8.256249070167542,/private/var/preferences/com.apple.wifi.known-networks.plist
Starbucks,32:bb:4b:88:59:7,2022-02-23 20:38:21.430894,2022-02-28 16:09:28.301438,2022-02-28 16:09:28.299827,414.9045670032501,/private/var/preferences/com.apple.wifi.known-networks.plist
WiFi Ziekenhuis,5e:1c:5f:2a:64:b9,2022-02-11 17:38:17.075477,2022-02-11 17:12:48.539435,2022-02-11 17:38:17.077900,2117.7919840812683,/private/var/preferences/com.apple.wifi.known-networks.plist
de Bibliotheek - Publiek,e2:63:da:a1:ce:41,2022-02-25 12:30:14.072969,2022-02-09 10:01:53.990561,2022-02-25 12:30:14.074347,536419.0830800533,/private/var/preferences/com.apple.wifi.known-networks.plist
HotspotArriva_B_7774,0:c:42:e0:80:72,2022-02-10 11:46:27.749066,2022-02-14 09:44:39.157864,2022-02-14 10:05:59.079102,1279.92123401165,/private/var/preferences/com.apple.wifi.known-networks.plist
WiFi in de trein,6:90:e8:8b:37:48,2022-01-31 14:35:14.836898,2022-02-14 10:10:46.344170,2022-02-14 10:11:28.784401,0,/private/var/preferences/com.apple.wifi.known-networks.plist
Pixel 5,32:7:e2:a9:8a:5e,2022-01-27 14:36:50.678486,1970-01-29 18:28:51.472752,2022-01-28 14:20:22.443454,1640808477.699521,/private/var/preferences/com.apple.wifi.known-networks.plist
H73P1J043,d6:ee:32:7f:b7:54,2022-02-18 11:01:05.005760,2022-02-16 13:59:39.759524,2022-02-18 11:01:05.008371,2969.6146852970123,/private/var/preferences/com.apple.wifi.known-networks.plist
HotspotArriva_B_7772,4c:5e:c:7c:15:90,2022-01-31 14:35:14.836898,2022-02-22 10:25:32.378136,2022-02-22 10:31:07.772718,335.39456593990326,/private/var/preferences/com.apple.wifi.known-networks.plist
Bletchley Park,54:3d:37:f8:69:3c,2022-03-02 08:42:58.290328,2022-01-28 14:22:09.868953,2022-03-02 08:48:23.828570,330.267147898674,/private/var/preferences/com.apple.wifi.known-networks.plist