SSID	BSSID	Network Usage	System Joined	User Joined	Last Updated	WiFi Network Password Modification Date	Add Reason	File
b'De Bieb publiek'	e8:26:89:26:8c:d2	7659.381010890007	2022-02-03 14:51:12.021056	2022-02-01 12:30:31.519732	2022-02-03 16:58:51.340279	2022-02-10 11:18:56.734243	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'HotspotArriva_B_7747'	4c:5e:c:7c:13:90	9346.952630877495	2022-01-31 14:35:14.836898	2022-02-22 17:52:00.522851	2022-02-22 17:52:07.012148	2022-02-14 09:44:27.276234	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'IKC-DeVaart'	78:8a:20:84:d3:9f	1613.7202520370483	2022-02-10 11:46:27.749066	2022-02-09 11:39:38.401608	2022-02-09 11:48:14.825365	2022-02-09 11:39:37.966480	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'Kwalitaria'	a6:73:64:1b:43:9d	8.256249070167542	2022-02-13 17:52:18.675788	2022-02-13 12:54:31.355848	2022-02-13 17:52:18.679002	2022-02-13 12:54:30.747909	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'Gasten'	e0:63:da:22:54:c8	9346.952630877495	2022-01-31 14:35:14.836898	2022-01-31 11:59:16.059666	2022-01-31 14:35:14.839389	2022-01-31 11:59:15.820661	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
"b""McDonald's WiFi"""	6e:a7:7b:4:8b:87	1613.7202520370483	2022-02-10 11:46:27.749066	2022-02-10 11:18:57.300235	2022-02-10 15:11:19.319908	2022-02-10 11:18:56.734243	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'RNET-BusWiFi'	4e:50:8b:2f:cc:1e	8.256249070167542	2022-02-03 14:51:12.021056	2022-02-14 09:44:28.329209	2022-02-14 10:52:45.191930	2022-02-14 09:44:27.276234	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'Starbucks'	32:bb:4b:88:59:7	414.9045670032501	2022-01-31 14:35:14.836898	2022-02-28 16:09:28.301438	2022-02-28 16:09:28.299827	2022-02-23 20:13:44.846609	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'WiFi Ziekenhuis'	5e:1c:5f:2a:64:b9	2117.7919840812683	2022-02-10 11:46:27.749066	2022-02-11 17:12:48.539435	2022-02-11 17:38:17.077900	2022-02-10 15:11:19.276633	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'de Bibliotheek - Publiek'	e2:63:da:a1:ce:41	536419.0830800533	2022-02-13 17:52:18.675788	2022-02-09 10:01:53.990561	2022-02-25 12:30:14.074347	2022-02-14 09:44:27.276234	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'HotspotArriva_B_7774'	0:c:42:e0:80:72	1279.92123401165	2022-01-31 14:35:14.836898	2022-02-14 09:44:39.157864	2022-02-14 10:05:59.079102	2022-02-09 11:39:37.966480	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'WiFi in de trein'	6:90:e8:8b:37:48		2022-02-10 11:46:27.749066	2022-02-14 10:10:46.344170	2022-02-14 10:11:28.784401	2022-02-13 12:54:30.747909	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'Pixel 5'	32:7:e2:a9:8a:5e	1640808477.699521	2022-02-03 14:51:12.021056	1970-01-29 18:28:51.472752	2022-01-28 14:20:22.443454	2022-01-31 11:59:15.820661	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'H73P1J043'	d6:ee:32:7f:b7:54	2969.6146852970123	2022-01-31 14:35:14.836898	2022-02-16 13:59:39.759524	2022-02-18 11:01:05.008371	2022-02-10 11:18:56.734243	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'HotspotArriva_B_7772'	4c:5e:c:7c:15:90	335.39456593990326	2022-02-10 11:46:27.749066	2022-02-22 10:25:32.378136	2022-02-22 10:31:07.772718	2022-02-14 09:44:27.276234	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist
b'Bletchley Park'	54:3d:37:f8:69:3c	330.267147898674	2022-03-02 08:42:58.290328	2022-01-28 14:22:09.868953	2022-03-02 08:48:23.828570	2022-01-28 14:22:09.557280	WiFi Settings	../Desktop/iphone7ufdr/files/Configuration/com.apple.wifi.known-networks.plist